Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Regional set 3,EUE,2019,1.22820280063608e-05,USD_2010/tCO2e
baseline_noce,Regional set 3,EUE,2024,49.156985614244,USD_2010/tCO2e
baseline_noce,Regional set 3,EUE,2030,146.417751508185,USD_2010/tCO2e
baseline_noce,Regional set 3,EUE,2035,242.67276470599,USD_2010/tCO2e
baseline_noce,Regional set 3,EUE,2040,478.582316796861,USD_2010/tCO2e
baseline_noce,Regional set 3,EUE,2050,2747.17128948591,USD_2010/tCO2e
baseline_noce,Regional set 3,EUM,2019,8.26619568416022e-06,USD_2010/tCO2e
baseline_noce,Regional set 3,EUM,2024,72.1789411178147,USD_2010/tCO2e
baseline_noce,Regional set 3,EUM,2030,1376.10259710732,USD_2010/tCO2e
baseline_noce,Regional set 3,EUM,2035,698.235911911751,USD_2010/tCO2e
baseline_noce,Regional set 3,EUM,2040,926.182544708739,USD_2010/tCO2e
baseline_noce,Regional set 3,EUM,2050,2825.2355859642503,USD_2010/tCO2e
baseline_noce,Regional set 3,EUW,2019,8.977875605769579e-06,USD_2010/tCO2e
baseline_noce,Regional set 3,EUW,2024,181.757793676086,USD_2010/tCO2e
baseline_noce,Regional set 3,EUW,2030,224.507240949844,USD_2010/tCO2e
baseline_noce,Regional set 3,EUW,2035,273.523207638459,USD_2010/tCO2e
baseline_noce,Regional set 3,EUW,2040,417.924789899988,USD_2010/tCO2e
baseline_noce,Regional set 3,EUW,2050,2642.2244026463104,USD_2010/tCO2e
baseline_noce,Regional set 3,IDN,2019,6.31380513319861e-06,USD_2010/tCO2e
baseline_noce,Regional set 3,IDN,2024,2.51421169934328e-07,USD_2010/tCO2e
baseline_noce,Regional set 3,IDN,2030,1.37237219229241e-09,USD_2010/tCO2e
baseline_noce,Regional set 3,IDN,2035,2.46133554611978e-08,USD_2010/tCO2e
baseline_noce,Regional set 3,IDN,2040,91.9759020222907,USD_2010/tCO2e
baseline_noce,Regional set 3,IDN,2050,338.491163922425,USD_2010/tCO2e
baseline_noce,Regional set 3,IND,2019,2.81024775948614e-06,USD_2010/tCO2e
baseline_noce,Regional set 3,IND,2024,4.75410557843413e-07,USD_2010/tCO2e
baseline_noce,Regional set 3,IND,2030,231.787796121395,USD_2010/tCO2e
baseline_noce,Regional set 3,IND,2035,306.640127434621,USD_2010/tCO2e
baseline_noce,Regional set 3,IND,2040,554.165416810466,USD_2010/tCO2e
baseline_noce,Regional set 3,IND,2050,1129.10690177458,USD_2010/tCO2e
baseline_noce,Regional set 3,JPN,2019,7.207519265957399e-06,USD_2010/tCO2e
baseline_noce,Regional set 3,JPN,2024,166.478710415875,USD_2010/tCO2e
baseline_noce,Regional set 3,JPN,2030,828.489898900482,USD_2010/tCO2e
baseline_noce,Regional set 3,JPN,2035,693.251737789491,USD_2010/tCO2e
baseline_noce,Regional set 3,JPN,2040,911.352516996126,USD_2010/tCO2e
baseline_noce,Regional set 3,JPN,2050,3237.26987752406,USD_2010/tCO2e
baseline_noce,Regional set 3,LAM,2019,1.35298143109943e-05,USD_2010/tCO2e
baseline_noce,Regional set 3,LAM,2024,44.8447409022472,USD_2010/tCO2e
baseline_noce,Regional set 3,LAM,2030,108.863184233821,USD_2010/tCO2e
baseline_noce,Regional set 3,LAM,2035,186.760210714842,USD_2010/tCO2e
baseline_noce,Regional set 3,LAM,2040,466.32349248529897,USD_2010/tCO2e
baseline_noce,Regional set 3,LAM,2050,306.764280527798,USD_2010/tCO2e
