Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Global,Cement,2019,27.356840966058222,%
baseline_noce,Global,Cement,2024,24.127643958029335,%
baseline_noce,Global,Cement,2030,21.29557149365643,%
baseline_noce,Global,Cement,2035,21.049018098421573,%
baseline_noce,Global,Cement,2040,21.94098749588175,%
baseline_noce,Global,Cement,2050,38.58798026074687,%
baseline_noce,Global,Iron and steel,2019,29.539760576703067,%
baseline_noce,Global,Iron and steel,2024,26.98827750017311,%
baseline_noce,Global,Iron and steel,2030,23.078997354020395,%
baseline_noce,Global,Iron and steel,2035,18.845220875181912,%
baseline_noce,Global,Iron and steel,2040,16.106727023426252,%
baseline_noce,Global,Iron and steel,2050,,%
baseline_noce,Global,Aluminium,2019,,%
baseline_noce,Global,Aluminium,2024,,%
baseline_noce,Global,Aluminium,2030,,%
baseline_noce,Global,Aluminium,2035,,%
baseline_noce,Global,Aluminium,2040,,%
baseline_noce,Global,Aluminium,2050,,%
