Scenario,Region,Variable,Unit,Year,Value
baseline_noce,AFE,Total Annualised Cost,Millions USD_2010/yr,2019,-1199317.0310699812
baseline_noce,AFN,Total Annualised Cost,Millions USD_2010/yr,2019,-7170567.89937542
baseline_noce,AFW,Total Annualised Cost,Millions USD_2010/yr,2019,-7035285.416750364
baseline_noce,AFZ,Total Annualised Cost,Millions USD_2010/yr,2019,-14235818.411932413
baseline_noce,ASC,Total Annualised Cost,Millions USD_2010/yr,2019,-3933038.243815967
baseline_noce,BRA,Total Annualised Cost,Millions USD_2010/yr,2019,-10584512.704042844
baseline_noce,CAN,Total Annualised Cost,Millions USD_2010/yr,2019,-112538243.76932871
baseline_noce,ENW,Total Annualised Cost,Millions USD_2010/yr,2019,-1420344.3309294796
baseline_noce,EUE,Total Annualised Cost,Millions USD_2010/yr,2019,-189891.03878769255
baseline_noce,LAM,Total Annualised Cost,Millions USD_2010/yr,2019,-20237354.458806142
baseline_noce,MEA,Total Annualised Cost,Millions USD_2010/yr,2019,-200667597.7902468
baseline_noce,MEX,Total Annualised Cost,Millions USD_2010/yr,2019,-53344274.772846736
baseline_noce,NIG,Total Annualised Cost,Millions USD_2010/yr,2019,-26937547.241956487
baseline_noce,RUS,Total Annualised Cost,Millions USD_2010/yr,2019,-7296900.308094434
