Scenario,Scope,Series,Year,Value,Unit
baseline_noce,ENW,Total,2019,3.40299998803522,Mt/yr
baseline_noce,ENW,Total,2024,2.531832023354278,Mt/yr
baseline_noce,ENW,Total,2030,2.416129997280464,Mt/yr
baseline_noce,ENW,Total,2035,1.9124859972936872,Mt/yr
baseline_noce,ENW,Total,2040,1.2965429732730327,Mt/yr
baseline_noce,ENW,Total,2050,,Mt/yr
baseline_noce,ENW,Primary,2019,2.29299998964491,Mt/yr
baseline_noce,ENW,Primary,2024,2.18579127764237,Mt/yr
baseline_noce,ENW,Primary,2030,2.00990525443548,Mt/yr
baseline_noce,ENW,Primary,2035,1.48829414490905,Mt/yr
baseline_noce,ENW,Primary,2040,1.22865655143914,Mt/yr
baseline_noce,ENW,Primary,2050,0.360717994926575,Mt/yr
baseline_noce,ENW,Secondary,2019,1.10999999839031,Mt/yr
baseline_noce,ENW,Secondary,2024,0.346040745711908,Mt/yr
baseline_noce,ENW,Secondary,2030,0.406224742844984,Mt/yr
baseline_noce,ENW,Secondary,2035,0.424191852384637,Mt/yr
baseline_noce,ENW,Secondary,2040,0.0678864218338927,Mt/yr
baseline_noce,ENW,Secondary,2050,,Mt/yr
