Scenario,Scope,Series,Year,Value,Unit
baseline_noce,EUM,Total,2019,4.219999991142858,Mt/yr
baseline_noce,EUM,Total,2024,2.694470028617829,Mt/yr
baseline_noce,EUM,Total,2030,2.51933999635217,Mt/yr
baseline_noce,EUM,Total,2035,2.51933999905258,Mt/yr
baseline_noce,EUM,Total,2040,2.4475999699784348,Mt/yr
baseline_noce,EUM,Total,2050,,Mt/yr
baseline_noce,EUM,Primary,2019,0.849999992894308,Mt/yr
baseline_noce,EUM,Primary,2024,0.872380934138219,Mt/yr
baseline_noce,EUM,Primary,2030,1.20967350905079,Mt/yr
baseline_noce,EUM,Primary,2035,1.16478786146461,Mt/yr
baseline_noce,EUM,Primary,2040,2.14797998326601,Mt/yr
baseline_noce,EUM,Primary,2050,2.14797998372544,Mt/yr
baseline_noce,EUM,Secondary,2019,3.36999999824855,Mt/yr
baseline_noce,EUM,Secondary,2024,1.82208909447961,Mt/yr
baseline_noce,EUM,Secondary,2030,1.30966648730138,Mt/yr
baseline_noce,EUM,Secondary,2035,1.35455213758797,Mt/yr
baseline_noce,EUM,Secondary,2040,0.299619986712425,Mt/yr
baseline_noce,EUM,Secondary,2050,,Mt/yr
