Scenario,Scope,Series,Year,Value,Unit
baseline_noce,EUW,Total,2019,2.740000006294508,Mt/yr
baseline_noce,EUW,Total,2024,6.449960031178991,Mt/yr
baseline_noce,EUW,Total,2030,7.41991999690756,Mt/yr
baseline_noce,EUW,Total,2035,7.90489999771805,Mt/yr
baseline_noce,EUW,Total,2040,8.25013999585119,Mt/yr
baseline_noce,EUW,Total,2050,8.02271999746821,Mt/yr
baseline_noce,EUW,Primary,2019,0.819999998434798,Mt/yr
baseline_noce,EUW,Primary,2024,1.1268970986063,Mt/yr
baseline_noce,EUW,Primary,2030,1.26851656670508,Mt/yr
baseline_noce,EUW,Primary,2035,1.54267208182544,Mt/yr
baseline_noce,EUW,Primary,2040,1.70358453984375,Mt/yr
baseline_noce,EUW,Primary,2050,4.00420571484936,Mt/yr
baseline_noce,EUW,Secondary,2019,1.92000000785971,Mt/yr
baseline_noce,EUW,Secondary,2024,5.32306293257269,Mt/yr
baseline_noce,EUW,Secondary,2030,6.15140343020248,Mt/yr
baseline_noce,EUW,Secondary,2035,6.36222791589261,Mt/yr
baseline_noce,EUW,Secondary,2040,6.54655545600744,Mt/yr
baseline_noce,EUW,Secondary,2050,4.01851428261885,Mt/yr
