Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Global,Total,2019,,Mt/yr
baseline_noce,Global,Total,2024,,Mt/yr
baseline_noce,Global,Total,2030,,Mt/yr
baseline_noce,Global,Total,2035,,Mt/yr
baseline_noce,Global,Total,2040,,Mt/yr
baseline_noce,Global,Total,2050,,Mt/yr
baseline_noce,Global,Primary,2019,,Mt/yr
baseline_noce,Global,Primary,2024,,Mt/yr
baseline_noce,Global,Primary,2030,,Mt/yr
baseline_noce,Global,Primary,2035,,Mt/yr
baseline_noce,Global,Primary,2040,,Mt/yr
baseline_noce,Global,Primary,2050,,Mt/yr
baseline_noce,Global,Secondary,2019,,Mt/yr
baseline_noce,Global,Secondary,2024,,Mt/yr
baseline_noce,Global,Secondary,2030,,Mt/yr
baseline_noce,Global,Secondary,2035,,Mt/yr
baseline_noce,Global,Secondary,2040,,Mt/yr
baseline_noce,Global,Secondary,2050,,Mt/yr
