Scenario,Scope,Series,Year,Value,Unit
baseline_noce,ENE,Total,2019,44.49030232009415,Mt/yr
baseline_noce,ENE,Total,2024,19.130830561027288,Mt/yr
baseline_noce,ENE,Total,2030,18.90837848246239,Mt/yr
baseline_noce,ENE,Total,2035,18.374494866529897,Mt/yr
baseline_noce,ENE,Total,2040,17.84061122823282,Mt/yr
baseline_noce,ENE,Total,2050,16.90631489032139,Mt/yr
baseline_noce,ENE,Primary,2019,42.3856456300339,Mt/yr
baseline_noce,ENE,Primary,2024,9.22029448649593,Mt/yr
baseline_noce,ENE,Primary,2030,9.50297671460302,Mt/yr
baseline_noce,ENE,Primary,2035,18.3744947557153,Mt/yr
baseline_noce,ENE,Primary,2040,16.211178964104,Mt/yr
baseline_noce,ENE,Primary,2050,9.58642854494714,Mt/yr
baseline_noce,ENE,Secondary,2019,2.10465669006025,Mt/yr
baseline_noce,ENE,Secondary,2024,9.91053607453136,Mt/yr
baseline_noce,ENE,Secondary,2030,9.40540176785937,Mt/yr
baseline_noce,ENE,Secondary,2035,1.10814595231549e-07,Mt/yr
baseline_noce,ENE,Secondary,2040,1.62943226412882,Mt/yr
baseline_noce,ENE,Secondary,2050,7.31988634537425,Mt/yr
