Scenario,Scope,Series,Year,Value,Unit
baseline_noce,ENW,Total,2019,9.437634567604551,Mt/yr
baseline_noce,ENW,Total,2024,6.09199345914961,Mt/yr
baseline_noce,ENW,Total,2030,4.020432322868868,Mt/yr
baseline_noce,ENW,Total,2035,3.624051669153567,Mt/yr
baseline_noce,ENW,Total,2040,3.274859191208,Mt/yr
baseline_noce,ENW,Total,2050,,Mt/yr
baseline_noce,ENW,Primary,2019,6.83914348288014,Mt/yr
baseline_noce,ENW,Primary,2024,0.84109043331369,Mt/yr
baseline_noce,ENW,Primary,2030,0.0207621501951281,Mt/yr
baseline_noce,ENW,Primary,2035,0.957996904097267,Mt/yr
baseline_noce,ENW,Primary,2040,2.47114547754177,Mt/yr
baseline_noce,ENW,Primary,2050,2.67085058000008,Mt/yr
baseline_noce,ENW,Secondary,2019,2.59849108472441,Mt/yr
baseline_noce,ENW,Secondary,2024,5.25090302583592,Mt/yr
baseline_noce,ENW,Secondary,2030,3.99967017267374,Mt/yr
baseline_noce,ENW,Secondary,2035,2.6660547650563,Mt/yr
baseline_noce,ENW,Secondary,2040,0.80371371366623,Mt/yr
baseline_noce,ENW,Secondary,2050,,Mt/yr
