Scenario,Scope,Series,Year,Value,Unit
baseline_noce,EUE,Total,2019,26.275772628902928,Mt/yr
baseline_noce,EUE,Total,2024,18.0645945588677,Mt/yr
baseline_noce,EUE,Total,2030,15.818015083776,Mt/yr
baseline_noce,EUE,Total,2035,14.924638810220289,Mt/yr
baseline_noce,EUE,Total,2040,14.08381409704151,Mt/yr
baseline_noce,EUE,Total,2050,,Mt/yr
baseline_noce,EUE,Primary,2019,21.2887547116015,Mt/yr
baseline_noce,EUE,Primary,2024,11.2356943268682,Mt/yr
baseline_noce,EUE,Primary,2030,0.3568586099092,Mt/yr
baseline_noce,EUE,Primary,2035,0.872486790188588,Mt/yr
baseline_noce,EUE,Primary,2040,3.81191413320501,Mt/yr
baseline_noce,EUE,Primary,2050,12.5072677535169,Mt/yr
baseline_noce,EUE,Secondary,2019,4.98701791730143,Mt/yr
baseline_noce,EUE,Secondary,2024,6.8289002319995,Mt/yr
baseline_noce,EUE,Secondary,2030,15.4611564738668,Mt/yr
baseline_noce,EUE,Secondary,2035,14.0521520200317,Mt/yr
baseline_noce,EUE,Secondary,2040,10.2718999638365,Mt/yr
baseline_noce,EUE,Secondary,2050,,Mt/yr
