Scenario,Scope,Series,Year,Value,Unit
baseline_noce,EUM,Total,2019,52.9707615348957,Mt/yr
baseline_noce,EUM,Total,2024,44.4159837900278,Mt/yr
baseline_noce,EUM,Total,2030,40.3107495075571,Mt/yr
baseline_noce,EUM,Total,2035,36.5498254435119,Mt/yr
baseline_noce,EUM,Total,2040,33.1596967011398,Mt/yr
baseline_noce,EUM,Total,2050,,Mt/yr
baseline_noce,EUM,Primary,2019,21.5991967067637,Mt/yr
baseline_noce,EUM,Primary,2024,18.2625950187116,Mt/yr
baseline_noce,EUM,Primary,2030,13.0104436880835,Mt/yr
baseline_noce,EUM,Primary,2035,10.5941527865039,Mt/yr
baseline_noce,EUM,Primary,2040,13.8280707274653,Mt/yr
baseline_noce,EUM,Primary,2050,27.2269714174146,Mt/yr
baseline_noce,EUM,Secondary,2019,31.371564828132,Mt/yr
baseline_noce,EUM,Secondary,2024,26.1533887713162,Mt/yr
baseline_noce,EUM,Secondary,2030,27.3003058194736,Mt/yr
baseline_noce,EUM,Secondary,2035,25.955672657008,Mt/yr
baseline_noce,EUM,Secondary,2040,19.3316259736745,Mt/yr
baseline_noce,EUM,Secondary,2050,,Mt/yr
