Scenario,Scope,Series,Year,Value,Unit
baseline_noce,EUW,Total,2019,69.42126276674139,Mt/yr
baseline_noce,EUW,Total,2024,61.784924028610504,Mt/yr
baseline_noce,EUW,Total,2030,56.8560141908287,Mt/yr
baseline_noce,EUW,Total,2035,51.6494194495071,Mt/yr
baseline_noce,EUW,Total,2040,46.9287736001222,Mt/yr
baseline_noce,EUW,Total,2050,,Mt/yr
baseline_noce,EUW,Primary,2019,52.7135204697284,Mt/yr
baseline_noce,EUW,Primary,2024,42.3928867176171,Mt/yr
baseline_noce,EUW,Primary,2030,35.8089135679003,Mt/yr
baseline_noce,EUW,Primary,2035,27.2580660913221,Mt/yr
baseline_noce,EUW,Primary,2040,24.5213086040942,Mt/yr
baseline_noce,EUW,Primary,2050,38.7370646098543,Mt/yr
baseline_noce,EUW,Secondary,2019,16.707742297013,Mt/yr
baseline_noce,EUW,Secondary,2024,19.3920373109934,Mt/yr
baseline_noce,EUW,Secondary,2030,21.0471006229284,Mt/yr
baseline_noce,EUW,Secondary,2035,24.391353358185,Mt/yr
baseline_noce,EUW,Secondary,2040,22.407464996028,Mt/yr
baseline_noce,EUW,Secondary,2050,,Mt/yr
