Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Global,Total,2019,1754.711551232852,Mt/yr
baseline_noce,Global,Total,2024,1725.0794351254624,Mt/yr
baseline_noce,Global,Total,2030,,Mt/yr
baseline_noce,Global,Total,2035,1595.6387432321321,Mt/yr
baseline_noce,Global,Total,2040,1683.4605942344915,Mt/yr
baseline_noce,Global,Total,2050,,Mt/yr
baseline_noce,Global,Primary,2019,1409.4021422034127,Mt/yr
baseline_noce,Global,Primary,2024,1300.4264955551444,Mt/yr
baseline_noce,Global,Primary,2030,,Mt/yr
baseline_noce,Global,Primary,2035,1100.3399785320971,Mt/yr
baseline_noce,Global,Primary,2040,1133.0724194653944,Mt/yr
baseline_noce,Global,Primary,2050,1399.6350022548183,Mt/yr
baseline_noce,Global,Secondary,2019,345.30940902943917,Mt/yr
baseline_noce,Global,Secondary,2024,424.652939570318,Mt/yr
baseline_noce,Global,Secondary,2030,482.54302254841133,Mt/yr
baseline_noce,Global,Secondary,2035,495.29876470003495,Mt/yr
baseline_noce,Global,Secondary,2040,550.388174769097,Mt/yr
baseline_noce,Global,Secondary,2050,,Mt/yr
