Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Regional set 1,AFE,2019,,GJ/t
baseline_noce,Regional set 1,AFE,2024,,GJ/t
baseline_noce,Regional set 1,AFE,2030,,GJ/t
baseline_noce,Regional set 1,AFE,2035,,GJ/t
baseline_noce,Regional set 1,AFE,2040,,GJ/t
baseline_noce,Regional set 1,AFE,2050,,GJ/t
baseline_noce,Regional set 1,AFN,2019,86.0215767344937,GJ/t
baseline_noce,Regional set 1,AFN,2024,73.8918689093465,GJ/t
baseline_noce,Regional set 1,AFN,2030,45.1345672318161,GJ/t
baseline_noce,Regional set 1,AFN,2035,58.1094299056072,GJ/t
baseline_noce,Regional set 1,AFN,2040,61.2500360481404,GJ/t
baseline_noce,Regional set 1,AFN,2050,75.79095031754301,GJ/t
baseline_noce,Regional set 1,AFW,2019,89.77990407772809,GJ/t
baseline_noce,Regional set 1,AFW,2024,75.2725174808879,GJ/t
baseline_noce,Regional set 1,AFW,2030,50.017396453403705,GJ/t
baseline_noce,Regional set 1,AFW,2035,36.5366552805335,GJ/t
baseline_noce,Regional set 1,AFW,2040,15.533194303067098,GJ/t
baseline_noce,Regional set 1,AFW,2050,16.349574328074002,GJ/t
baseline_noce,Regional set 1,AFZ,2019,93.828423341574,GJ/t
baseline_noce,Regional set 1,AFZ,2024,79.6558979931122,GJ/t
baseline_noce,Regional set 1,AFZ,2030,55.1551250545044,GJ/t
baseline_noce,Regional set 1,AFZ,2035,46.553797326942004,GJ/t
baseline_noce,Regional set 1,AFZ,2040,42.776850292496,GJ/t
baseline_noce,Regional set 1,AFZ,2050,42.630183780376896,GJ/t
baseline_noce,Regional set 1,ANZ,2019,67.15340153073839,GJ/t
baseline_noce,Regional set 1,ANZ,2024,91.3210197037867,GJ/t
baseline_noce,Regional set 1,ANZ,2030,88.9561460525881,GJ/t
baseline_noce,Regional set 1,ANZ,2035,78.9147524845545,GJ/t
baseline_noce,Regional set 1,ANZ,2040,71.2738797661813,GJ/t
baseline_noce,Regional set 1,ANZ,2050,71.2479722205878,GJ/t
baseline_noce,Regional set 1,ASC,2019,91.5481685513619,GJ/t
baseline_noce,Regional set 1,ASC,2024,77.6019070984359,GJ/t
baseline_noce,Regional set 1,ASC,2030,51.9435138845244,GJ/t
baseline_noce,Regional set 1,ASC,2035,41.2926930609716,GJ/t
baseline_noce,Regional set 1,ASC,2040,5.9933053865443995,GJ/t
baseline_noce,Regional set 1,ASC,2050,15.9575471676742,GJ/t
baseline_noce,Regional set 1,ASE,2019,69.4636558658931,GJ/t
baseline_noce,Regional set 1,ASE,2024,43.3128699747511,GJ/t
baseline_noce,Regional set 1,ASE,2030,36.7076890094313,GJ/t
baseline_noce,Regional set 1,ASE,2035,31.835157548562496,GJ/t
baseline_noce,Regional set 1,ASE,2040,27.417373293809202,GJ/t
baseline_noce,Regional set 1,ASE,2050,21.9343000259816,GJ/t
