Scenario,Scope,Series,Year,Value,Unit
baseline_noce,Regional set 3,EUE,2019,5.3265966366668005,GJ/t
baseline_noce,Regional set 3,EUE,2024,5.1014592575498,GJ/t
baseline_noce,Regional set 3,EUE,2030,5.1204839659851,GJ/t
baseline_noce,Regional set 3,EUE,2035,4.8648075317151,GJ/t
baseline_noce,Regional set 3,EUE,2040,4.6025859927885,GJ/t
baseline_noce,Regional set 3,EUE,2050,4.1106691845495,GJ/t
baseline_noce,Regional set 3,EUM,2019,6.5306685569975995,GJ/t
baseline_noce,Regional set 3,EUM,2024,6.1595972209504,GJ/t
baseline_noce,Regional set 3,EUM,2030,5.6632025176876,GJ/t
baseline_noce,Regional set 3,EUM,2035,5.3290160066659,GJ/t
baseline_noce,Regional set 3,EUM,2040,4.9752095942454,GJ/t
baseline_noce,Regional set 3,EUM,2050,4.1934637016242,GJ/t
baseline_noce,Regional set 3,EUW,2019,5.3007777273834,GJ/t
baseline_noce,Regional set 3,EUW,2024,5.2579967665,GJ/t
baseline_noce,Regional set 3,EUW,2030,5.2361979504104,GJ/t
baseline_noce,Regional set 3,EUW,2035,4.9065771341527995,GJ/t
baseline_noce,Regional set 3,EUW,2040,4.5913292008852995,GJ/t
baseline_noce,Regional set 3,EUW,2050,3.9389247410409003,GJ/t
baseline_noce,Regional set 3,IDN,2019,6.6056067190397005,GJ/t
baseline_noce,Regional set 3,IDN,2024,6.3756920434303,GJ/t
baseline_noce,Regional set 3,IDN,2030,6.056185283761599,GJ/t
baseline_noce,Regional set 3,IDN,2035,5.8069938797049,GJ/t
baseline_noce,Regional set 3,IDN,2040,5.5968882956646,GJ/t
baseline_noce,Regional set 3,IDN,2050,5.1236394911779,GJ/t
baseline_noce,Regional set 3,IND,2019,5.2537242241844,GJ/t
baseline_noce,Regional set 3,IND,2024,4.9320442906711,GJ/t
baseline_noce,Regional set 3,IND,2030,4.6212236932878,GJ/t
baseline_noce,Regional set 3,IND,2035,4.381250836195,GJ/t
baseline_noce,Regional set 3,IND,2040,4.2376567689307,GJ/t
baseline_noce,Regional set 3,IND,2050,3.9737638954027,GJ/t
baseline_noce,Regional set 3,JPN,2019,6.0758168230652,GJ/t
baseline_noce,Regional set 3,JPN,2024,5.9987260893161,GJ/t
baseline_noce,Regional set 3,JPN,2030,6.0377486414553,GJ/t
baseline_noce,Regional set 3,JPN,2035,5.8439460471241,GJ/t
baseline_noce,Regional set 3,JPN,2040,5.3667858464883,GJ/t
baseline_noce,Regional set 3,JPN,2050,4.5725552729336,GJ/t
baseline_noce,Regional set 3,LAM,2019,5.926083025400899,GJ/t
baseline_noce,Regional set 3,LAM,2024,5.64042802279,GJ/t
baseline_noce,Regional set 3,LAM,2030,5.3255639902365,GJ/t
baseline_noce,Regional set 3,LAM,2035,4.981181019572699,GJ/t
baseline_noce,Regional set 3,LAM,2040,4.6467652932165,GJ/t
baseline_noce,Regional set 3,LAM,2050,4.0899566016222,GJ/t
