Scenario,Scope,Series,Year,Value,Unit,Figure
baseline_noce,Global,Cement,2019,4201.409299940433,Mt/yr,production_cement_global
baseline_noce,Global,Cement,2024,3949.47131787373,Mt/yr,production_cement_global
baseline_noce,Global,Cement,2030,3754.656802568388,Mt/yr,production_cement_global
baseline_noce,Global,Cement,2035,3663.033167717458,Mt/yr,production_cement_global
baseline_noce,Global,Cement,2040,3660.4167449910474,Mt/yr,production_cement_global
baseline_noce,Global,Cement,2050,3660.135942423824,Mt/yr,production_cement_global
baseline_noce,Global,Clinker,2019,3030.4398866528886,Mt/yr,production_cement_global
baseline_noce,Global,Clinker,2024,2864.3071106476964,Mt/yr,production_cement_global
baseline_noce,Global,Clinker,2030,2726.8563868435053,Mt/yr,production_cement_global
baseline_noce,Global,Clinker,2035,2659.5047763533066,Mt/yr,production_cement_global
baseline_noce,Global,Clinker,2040,2636.3747900615363,Mt/yr,production_cement_global
baseline_noce,Global,Clinker,2050,2599.115827280662,Mt/yr,production_cement_global
baseline_noce,Global,Total,2019,1754.711551232852,Mt/yr,production_steel_global
baseline_noce,Global,Total,2024,1725.0794351254624,Mt/yr,production_steel_global
baseline_noce,Global,Total,2030,,Mt/yr,production_steel_global
baseline_noce,Global,Total,2035,1595.6387432321321,Mt/yr,production_steel_global
baseline_noce,Global,Total,2040,1683.4605942344915,Mt/yr,production_steel_global
baseline_noce,Global,Total,2050,,Mt/yr,production_steel_global
baseline_noce,Global,Primary,2019,1409.4021422034127,Mt/yr,production_steel_global
baseline_noce,Global,Primary,2024,1300.4264955551444,Mt/yr,production_steel_global
baseline_noce,Global,Primary,2030,,Mt/yr,production_steel_global
baseline_noce,Global,Primary,2035,1100.3399785320971,Mt/yr,production_steel_global
baseline_noce,Global,Primary,2040,1133.0724194653944,Mt/yr,production_steel_global
baseline_noce,Global,Primary,2050,1399.6350022548183,Mt/yr,production_steel_global
baseline_noce,Global,Secondary,2019,345.30940902943917,Mt/yr,production_steel_global
baseline_noce,Global,Secondary,2024,424.652939570318,Mt/yr,production_steel_global
baseline_noce,Global,Secondary,2030,482.54302254841133,Mt/yr,production_steel_global
baseline_noce,Global,Secondary,2035,495.29876470003495,Mt/yr,production_steel_global
baseline_noce,Global,Secondary,2040,550.388174769097,Mt/yr,production_steel_global
baseline_noce,Global,Secondary,2050,,Mt/yr,production_steel_global
baseline_noce,Global,Total,2019,,Mt/yr,production_aluminium_global
baseline_noce,Global,Total,2024,,Mt/yr,production_aluminium_global
baseline_noce,Global,Total,2030,,Mt/yr,production_aluminium_global
baseline_noce,Global,Total,2035,,Mt/yr,production_aluminium_global
baseline_noce,Global,Total,2040,,Mt/yr,production_aluminium_global
baseline_noce,Global,Total,2050,,Mt/yr,production_aluminium_global
baseline_noce,Global,Primary,2019,,Mt/yr,production_aluminium_global
baseline_noce,Global,Primary,2024,,Mt/yr,production_aluminium_global
baseline_noce,Global,Primary,2030,,Mt/yr,production_aluminium_global
baseline_noce,Global,Primary,2035,,Mt/yr,production_aluminium_global
baseline_noce,Global,Primary,2040,,Mt/yr,production_aluminium_global
baseline_noce,Global,Primary,2050,,Mt/yr,production_aluminium_global
baseline_noce,Global,Secondary,2019,,Mt/yr,production_aluminium_global
baseline_noce,Global,Secondary,2024,,Mt/yr,production_aluminium_global
baseline_noce,Global,Secondary,2030,,Mt/yr,production_aluminium_global
baseline_noce,Global,Secondary,2035,,Mt/yr,production_aluminium_global
baseline_noce,Global,Secondary,2040,,Mt/yr,production_aluminium_global
baseline_noce,Global,Secondary,2050,,Mt/yr,production_aluminium_global
baseline_noce,ENE,Cement,2019,20.7505999978626,Mt/yr,production_cement_ene
baseline_noce,ENE,Cement,2024,18.084148291582,Mt/yr,production_cement_ene
baseline_noce,ENE,Cement,2030,20.0035784022039,Mt/yr,production_cement_ene
baseline_noce,ENE,Cement,2035,21.6636264029912,Mt/yr,production_cement_ene
baseline_noce,ENE,Cement,2040,22.4728998021253,Mt/yr,production_cement_ene
baseline_noce,ENE,Cement,2050,23.0331660033304,Mt/yr,production_cement_ene
baseline_noce,ENE,Clinker,2019,17.4299999873566,Mt/yr,production_cement_ene
baseline_noce,ENE,Clinker,2024,15.1237206847189,Mt/yr,production_cement_ene
baseline_noce,ENE,Clinker,2030,16.2261680013348,Mt/yr,production_cement_ene
baseline_noce,ENE,Clinker,2035,17.1906280021889,Mt/yr,production_cement_ene
baseline_noce,ENE,Clinker,2040,17.5119210017529,Mt/yr,production_cement_ene
baseline_noce,ENE,Clinker,2050,17.412570003192,Mt/yr,production_cement_ene
baseline_noce,ENE,Total,2019,44.49030232009415,Mt/yr,production_steel_ene
baseline_noce,ENE,Total,2024,19.130830561027288,Mt/yr,production_steel_ene
baseline_noce,ENE,Total,2030,18.90837848246239,Mt/yr,production_steel_ene
baseline_noce,ENE,Total,2035,18.374494866529897,Mt/yr,production_steel_ene
baseline_noce,ENE,Total,2040,17.84061122823282,Mt/yr,production_steel_ene
baseline_noce,ENE,Total,2050,16.90631489032139,Mt/yr,production_steel_ene
baseline_noce,ENE,Primary,2019,42.3856456300339,Mt/yr,production_steel_ene
baseline_noce,ENE,Primary,2024,9.22029448649593,Mt/yr,production_steel_ene
baseline_noce,ENE,Primary,2030,9.50297671460302,Mt/yr,production_steel_ene
baseline_noce,ENE,Primary,2035,18.3744947557153,Mt/yr,production_steel_ene
baseline_noce,ENE,Primary,2040,16.211178964104,Mt/yr,production_steel_ene
baseline_noce,ENE,Primary,2050,9.58642854494714,Mt/yr,production_steel_ene
baseline_noce,ENE,Secondary,2019,2.10465669006025,Mt/yr,production_steel_ene
baseline_noce,ENE,Secondary,2024,9.91053607453136,Mt/yr,production_steel_ene
baseline_noce,ENE,Secondary,2030,9.40540176785937,Mt/yr,production_steel_ene
baseline_noce,ENE,Secondary,2035,1.10814595231549e-07,Mt/yr,production_steel_ene
baseline_noce,ENE,Secondary,2040,1.62943226412882,Mt/yr,production_steel_ene
