Group,Region,WeightYear,Weight,BaseEmissions_MtCO2e
Europe,ENE,2019,0.11577713511070564,82.80338624779469
Europe,ENW,2019,0.0923232901484296,66.02928157202906
Europe,EUE,2019,0.17699495829550072,126.5861508979373
Europe,EUM,2019,0.2583999901401133,184.8067338126737
Europe,EUW,2019,0.35650462630525076,254.9708130439804
China region,CHN,2019,1.0,3711.345650309749
India,IND,2019,1.0,1127.129125852417
North America,USA,2019,0.7659857647125631,583.9419040536486
North America,CAN,2019,0.1270207309771892,96.8330364846134
North America,MEX,2019,0.10699350431024769,81.56547224052294
Latin America & Caribbean,BRA,2019,0.46509092300508237,141.3906758866613
Latin America & Caribbean,CHL,2019,0.06169528771759126,18.75577010415432
Latin America & Caribbean,LAM,2019,0.4732137892773264,143.86008024516562
Other Asia–Pacific,ANZ,2019,0.054695469489756655,66.5683411470139
Other Asia–Pacific,ASE,2019,0.19479691289674497,237.0819278646869
Other Asia–Pacific,ASO,2019,0.10669659325996918,129.8574687375887
Other Asia–Pacific,IDN,2019,0.3160511861407955,384.657145741825
Other Asia–Pacific,JPN,2019,0.21467208852489467,261.2714536867345
Other Asia–Pacific,SKT,2019,0.11308774968783901,137.63596822544935
Russia & Central Asia,RUS,2019,0.8634233907516582,455.4330172711303
Russia & Central Asia,ASC,2019,0.13657660924834172,72.04055148944084
Middle East,MDA,2019,0.1825657017639655,119.18565921170024
Middle East,MEA,2019,0.8174342982360345,533.6514183999111
Africa,AFE,2019,0.10039521875597354,27.8476159566719
Africa,AFN,2019,0.4930519737434799,136.76270824073032
Africa,AFW,2019,0.07917345880164305,21.96112625670587
Africa,AFZ,2019,0.2514947838552588,69.75959854154652
Africa,NIG,2019,0.0758845648436446,21.04885317239517
