Sector,Rank,Group,RankingYear,Emissions_MtCO2e_yr,GlobalShare_percent
Cement,1,China region,2050,394.102596002048,22.937967205720412
Cement,2,India,2050,333.29516620169704,19.398790238164104
Cement,3,Indonesia group,2050,145.634653738136,8.476378855023963
Cement,4,Gulf & Iran,2050,130.83237768012,7.614841462900246
Cement,5,Other South Asia,2050,94.9849684082622,5.528413444842636
Cement,6,Europe,2050,89.9627302540379,5.236103941557058
Cement,7,Other Asia–Pacific,2050,74.77489812512951,4.352126015928076
Cement,8,Northern Africa,2050,68.56891695818389,3.9909190765909464
Cement,9,United States,2050,48.7355512149142,2.8365569952109633
Cement,10,Other Latin America,2050,46.4805706686657,2.705310283455944
Cement,11,Eastern Africa,2050,45.363102469305,2.6402702426888998
Cement,12,West & Central Africa,2050,36.2477938368352,2.109731614923743
Iron and steel,1,India,2050,618.564760123933,83.49884165532791
Iron and steel,2,China region,2050,74.9852979347739,10.12211804222214
Iron and steel,3,Brazil,2050,8.65888267488134,1.168845559900827
Iron and steel,4,Indonesia group,2050,5.81633782149154,0.7851360149797618
Iron and steel,5,Other Latin America,2050,5.23865620060724,0.7071559079659917
Iron and steel,6,Russia,2050,5.08870921002356,0.6869148583127086
Iron and steel,7,Turkey & Levant,2050,4.17481446384667,0.563550002084282
Iron and steel,8,Mexico,2050,4.07483893999287,0.5500545025443399
Iron and steel,9,Gulf & Iran,2050,2.9646576267543603,0.40019330827870864
Iron and steel,10,Europe,2050,2.560092392142349,0.3455818421205803
Iron and steel,11,Northern Africa,2050,2.4662822846989503,0.33291860002848916
Iron and steel,12,Eastern Africa,2050,1.69303199546385,0.22853906271400964
Aluminium,1,China region,2050,40.6316439960416,79.43320916984507
Aluminium,2,Gulf & Iran,2050,3.8331710156634298,7.493693218532917
Aluminium,3,Russia,2050,2.1603423550204,4.223381317810546
Aluminium,4,Southern Africa,2050,1.37064309852772,2.6795514341768616
Aluminium,5,Other Asia–Pacific,2050,0.830322145002076,1.6232459761837297
Aluminium,6,Indonesia group,2050,0.68864548310078,1.3462738723626921
Aluminium,7,Northern Africa,2050,0.38679653872552,0.7561714797892386
Aluminium,8,Central Asia group,2050,0.384334459667037,0.7513582155052674
Aluminium,9,India,2050,0.3637750632897299,0.7111654329291185
Aluminium,10,Mexico,2050,0.260391367048569,0.5090545173807371
Aluminium,11,West & Central Africa,2050,0.156983682322067,0.30689670532051516
Aluminium,12,Other Latin America,2050,0.0714100298061601,0.1396036998889386
