Scenario,Panel,Scope,Series,Year,Value,Unit,Role
baseline_noce,a,Global,Cement,2019,4201.409299940433,Mt/yr,plotted
baseline_noce,a,Global,Cement,2024,3949.47131787373,Mt/yr,plotted
baseline_noce,a,Global,Cement,2030,3754.656802568388,Mt/yr,plotted
baseline_noce,a,Global,Cement,2035,3663.033167717458,Mt/yr,plotted
baseline_noce,a,Global,Cement,2040,3660.4167449910474,Mt/yr,plotted
baseline_noce,a,Global,Cement,2050,3660.135942423824,Mt/yr,plotted
baseline_noce,a,Global,Clinker,2019,3030.4398866528886,Mt/yr,plotted
baseline_noce,a,Global,Clinker,2024,2864.3071106476964,Mt/yr,plotted
baseline_noce,a,Global,Clinker,2030,2726.8563868435053,Mt/yr,plotted
baseline_noce,a,Global,Clinker,2035,2659.5047763533066,Mt/yr,plotted
baseline_noce,a,Global,Clinker,2040,2636.3747900615363,Mt/yr,plotted
baseline_noce,a,Global,Clinker,2050,2599.115827280662,Mt/yr,plotted
baseline_noce,b,Global,Total,2019,1754.711551232852,Mt/yr,plotted
baseline_noce,b,Global,Total,2024,1725.0794351254624,Mt/yr,plotted
baseline_noce,b,Global,Total,2030,1641.9891338095165,Mt/yr,plotted
baseline_noce,b,Global,Total,2035,1595.6387432321321,Mt/yr,plotted
baseline_noce,b,Global,Total,2040,1683.4605942344915,Mt/yr,plotted
baseline_noce,b,Global,Total,2050,2186.929691103253,Mt/yr,plotted
baseline_noce,b,Global,Primary,2019,1409.4021422034127,Mt/yr,plotted
baseline_noce,b,Global,Primary,2024,1300.4264955551444,Mt/yr,plotted
baseline_noce,b,Global,Primary,2030,1159.4461112611052,Mt/yr,plotted
baseline_noce,b,Global,Primary,2035,1100.3399785320971,Mt/yr,plotted
baseline_noce,b,Global,Primary,2040,1133.0724194653944,Mt/yr,plotted
baseline_noce,b,Global,Primary,2050,1399.6350022548183,Mt/yr,plotted
baseline_noce,b,Global,Secondary,2019,345.30940902943917,Mt/yr,plotted
baseline_noce,b,Global,Secondary,2024,424.652939570318,Mt/yr,plotted
baseline_noce,b,Global,Secondary,2030,482.54302254841133,Mt/yr,plotted
baseline_noce,b,Global,Secondary,2035,495.29876470003495,Mt/yr,plotted
baseline_noce,b,Global,Secondary,2040,550.388174769097,Mt/yr,plotted
baseline_noce,b,Global,Secondary,2050,787.2946888484346,Mt/yr,plotted
baseline_noce,c,Global,Total,2019,94.49997372278058,Mt/yr,plotted
baseline_noce,c,Global,Total,2024,121.01332192264523,Mt/yr,plotted
baseline_noce,c,Global,Total,2030,124.37817188226649,Mt/yr,plotted
baseline_noce,c,Global,Total,2035,127.02728582773696,Mt/yr,plotted
baseline_noce,c,Global,Total,2040,131.46121772284212,Mt/yr,plotted
baseline_noce,c,Global,Total,2050,133.01408676120656,Mt/yr,plotted
baseline_noce,c,Global,Primary,2019,62.749973727086626,Mt/yr,plotted
baseline_noce,c,Global,Primary,2024,78.04114761610496,Mt/yr,plotted
baseline_noce,c,Global,Primary,2030,75.17941660782321,Mt/yr,plotted
baseline_noce,c,Global,Primary,2035,71.6935049598691,Mt/yr,plotted
baseline_noce,c,Global,Primary,2040,72.65698446754533,Mt/yr,plotted
baseline_noce,c,Global,Primary,2050,68.45857888402483,Mt/yr,plotted
baseline_noce,c,Global,Secondary,2019,31.74999999569395,Mt/yr,plotted
baseline_noce,c,Global,Secondary,2024,42.97217430654027,Mt/yr,plotted
baseline_noce,c,Global,Secondary,2030,49.198755274443265,Mt/yr,plotted
baseline_noce,c,Global,Secondary,2035,55.33378086786785,Mt/yr,plotted
baseline_noce,c,Global,Secondary,2040,58.804233255296786,Mt/yr,plotted
baseline_noce,c,Global,Secondary,2050,64.55550787718173,Mt/yr,plotted
