Scenario,Panel,Scope,Series,Year,Value,Unit,Role
baseline_noce,a,Global,Cement,2019,2.542758438447978,GtCO2e/yr,plotted
baseline_noce,a,Global,Cement,2024,2.36069368367247,GtCO2e/yr,plotted
baseline_noce,a,Global,Cement,2030,2.0977976651628745,GtCO2e/yr,plotted
baseline_noce,a,Global,Cement,2035,1.9921680957149694,GtCO2e/yr,plotted
baseline_noce,a,Global,Cement,2040,1.9110899971156512,GtCO2e/yr,plotted
baseline_noce,a,Global,Cement,2050,1.7181234608434015,GtCO2e/yr,plotted
baseline_noce,a,Global,Iron and steel,2019,2.74565603423791,GtCO2e/yr,plotted
baseline_noce,a,Global,Iron and steel,2024,2.6405834046078245,GtCO2e/yr,plotted
baseline_noce,a,Global,Iron and steel,2030,2.273480511099978,GtCO2e/yr,plotted
baseline_noce,a,Global,Iron and steel,2035,1.7835914059599012,GtCO2e/yr,plotted
baseline_noce,a,Global,Iron and steel,2040,1.402917936420128,GtCO2e/yr,plotted
baseline_noce,a,Global,Iron and steel,2050,0.740806396665101,GtCO2e/yr,plotted
baseline_noce,a,Global,Aluminium,2019,0.20657298142796365,GtCO2e/yr,plotted
baseline_noce,a,Global,Aluminium,2024,0.24798624821972323,GtCO2e/yr,plotted
baseline_noce,a,Global,Aluminium,2030,0.20450892873301849,GtCO2e/yr,plotted
baseline_noce,a,Global,Aluminium,2035,0.16650441627348747,GtCO2e/yr,plotted
baseline_noce,a,Global,Aluminium,2040,0.1263006604449046,GtCO2e/yr,plotted
baseline_noce,a,Global,Aluminium,2050,0.051151960773940935,GtCO2e/yr,plotted
baseline_noce,b,Global,Cement,2019,27.356840966058222,%,plotted
baseline_noce,b,Global,Cement,2024,24.127643958029335,%,plotted
baseline_noce,b,Global,Cement,2030,21.29557149365643,%,plotted
baseline_noce,b,Global,Cement,2035,21.049018098421573,%,plotted
baseline_noce,b,Global,Cement,2040,21.94098749588175,%,plotted
baseline_noce,b,Global,Cement,2050,38.58798026074687,%,plotted
baseline_noce,b,Global,Iron and steel,2019,29.539760576703067,%,plotted
baseline_noce,b,Global,Iron and steel,2024,26.98827750017311,%,plotted
baseline_noce,b,Global,Iron and steel,2030,23.078997354020395,%,plotted
baseline_noce,b,Global,Iron and steel,2035,18.845220875181912,%,plotted
baseline_noce,b,Global,Iron and steel,2040,16.106727023426252,%,plotted
baseline_noce,b,Global,Iron and steel,2050,16.638049164124315,%,plotted
baseline_noce,b,Global,Aluminium,2019,2.2224620771521697,%,plotted
baseline_noce,b,Global,Aluminium,2024,2.5345617455225558,%,plotted
baseline_noce,b,Global,Aluminium,2030,2.0760507961509944,%,plotted
baseline_noce,b,Global,Aluminium,2035,1.759266438984877,%,plotted
baseline_noce,b,Global,Aluminium,2040,1.4500422354392972,%,plotted
baseline_noce,b,Global,Aluminium,2050,1.1488411034643555,%,plotted
baseline_noce,c,Global,Cement,2019,0.6052155971768874,tCO2e/t,plotted
baseline_noce,c,Global,Cement,2024,0.5977239720640364,tCO2e/t,plotted
baseline_noce,c,Global,Cement,2030,0.5587188857655027,tCO2e/t,plotted
