Scenario,Panel,Scope,Series,Year,Value,Unit,Role
baseline_noce,a,Producer regions,China region,2019,4.921160903425299,GJ/t,plotted
baseline_noce,a,Producer regions,China region,2050,4.006873444435199,GJ/t,plotted
baseline_noce,a,Producer regions,India,2019,5.2537242241844,GJ/t,plotted
baseline_noce,a,Producer regions,India,2050,3.9737638954026995,GJ/t,plotted
baseline_noce,a,Producer regions,Indonesia group,2019,6.605606719039701,GJ/t,plotted
baseline_noce,a,Producer regions,Indonesia group,2050,5.1236394911779,GJ/t,plotted
baseline_noce,a,Producer regions,Gulf & Iran,2019,7.0656322791770005,GJ/t,plotted
baseline_noce,a,Producer regions,Gulf & Iran,2050,5.7839075680500995,GJ/t,plotted
baseline_noce,a,Producer regions,Other South Asia,2019,3.7894057563637,GJ/t,plotted
baseline_noce,a,Producer regions,Other South Asia,2050,3.9790778957246,GJ/t,plotted
baseline_noce,a,Producer regions,Europe,2019,5.908451963513378,GJ/t,plotted
baseline_noce,a,Producer regions,Europe,2050,4.24620542083492,GJ/t,plotted
baseline_noce,a,Producer regions,Northern Africa,2019,5.791324574545399,GJ/t,plotted
baseline_noce,a,Producer regions,Northern Africa,2050,4.7771043075173,GJ/t,plotted
baseline_noce,a,Producer regions,Other Asia–Pacific,2019,6.9302625979186,GJ/t,plotted
baseline_noce,a,Producer regions,Other Asia–Pacific,2050,4.9322896513159,GJ/t,plotted
baseline_noce,a,Producer regions,Turkey & Levant,2019,6.2123875201905,GJ/t,plotted
baseline_noce,a,Producer regions,Turkey & Levant,2050,5.3830555798458,GJ/t,plotted
baseline_noce,a,Producer regions,United States,2019,6.9585138811343,GJ/t,plotted
baseline_noce,a,Producer regions,United States,2050,5.4754109962727,GJ/t,plotted
baseline_noce,a,Producer regions,Other Latin America,2019,5.926083025400899,GJ/t,plotted
baseline_noce,a,Producer regions,Other Latin America,2050,4.0899566016222,GJ/t,plotted
baseline_noce,a,Producer regions,Eastern Africa,2019,6.3101779025049,GJ/t,plotted
baseline_noce,a,Producer regions,Eastern Africa,2050,4.8770020202379,GJ/t,plotted
baseline_noce,b,Producer regions,China region,2019,32.310306031848796,GJ/t,plotted
baseline_noce,b,Producer regions,China region,2050,4.4039649388463,GJ/t,plotted
baseline_noce,b,Producer regions,India,2019,38.0080718359443,GJ/t,plotted
baseline_noce,b,Producer regions,India,2050,15.6457032950668,GJ/t,plotted
baseline_noce,b,Producer regions,Europe,2019,25.798979935025635,GJ/t,plotted
baseline_noce,b,Producer regions,Europe,2050,9.52447717924979,GJ/t,plotted
baseline_noce,b,Producer regions,Brazil,2019,32.913533498273004,GJ/t,plotted
baseline_noce,b,Producer regions,Brazil,2050,6.3523011116603,GJ/t,plotted
baseline_noce,b,Producer regions,Japan,2019,34.4166110035666,GJ/t,plotted
baseline_noce,b,Producer regions,Japan,2050,7.7043028904831,GJ/t,plotted
baseline_noce,b,Producer regions,Russia,2019,58.0262709430273,GJ/t,plotted
baseline_noce,b,Producer regions,Russia,2050,9.863757511187,GJ/t,plotted
baseline_noce,b,Producer regions,United States,2019,19.439364545372502,GJ/t,plotted
baseline_noce,b,Producer regions,United States,2050,6.929999999999899,GJ/t,plotted
