Sector,Rank,Group,RankingYear,Production_Mt_yr,GlobalShare_percent
Cement,1,China region,2050,940.513607988705,25.69613868947927
Cement,2,India,2050,678.862769001465,18.547474183483658
Cement,3,Indonesia group,2050,255.185452031926,6.972021150201773
Cement,4,Gulf & Iran,2050,218.635302203846,5.973420267528665
Cement,5,Other South Asia,2050,202.499816997962,5.532576390150747
Cement,6,Europe,2050,198.6868325113928,5.428400355529361
Cement,7,Northern Africa,2050,135.359616001031,3.6982128022106417
Cement,8,Other Asia–Pacific,2050,128.812936813576,3.5193484296726196
Cement,9,Turkey & Levant,2050,104.629646096887,2.858627322667117
Cement,10,United States,2050,99.3768000124692,2.715112268389126
Cement,11,Other Latin America,2050,97.0326612008168,2.651067138685554
Cement,12,Eastern Africa,2050,78.212492403725,2.136873975012276
Iron and steel,1,China region,2050,796.546932491431,36.42307001143655
Iron and steel,2,India,2050,749.912321099726,34.29064611224028
Iron and steel,3,Europe,2050,98.04846925110728,4.483384612225197
Iron and steel,4,Brazil,2050,72.6677873800857,3.3228222962863776
Iron and steel,5,Japan,2050,69.05042271244578,3.157413930285592
Iron and steel,6,Russia,2050,64.1870640538941,2.9350309849930882
Iron and steel,7,United States,2050,50.9003112543322,2.327478174602597
Iron and steel,8,South Korea,2050,43.598825182875,1.9936089102562986
Iron and steel,9,Turkey & Levant,2050,39.0327405277318,1.7848191776133746
Iron and steel,10,Indonesia group,2050,34.06153139572441,1.5575046392342495
Iron and steel,11,Gulf & Iran,2050,30.875817655842198,1.4118340329572323
Iron and steel,12,Other Latin America,2050,30.10756211754141,1.376704621096112
Aluminium,1,China region,2050,54.465221990221096,40.94695781206975
Aluminium,2,India,2050,14.00855000128593,10.531628899151688
Aluminium,3,Europe,2050,12.489742933518158,9.389789636296463
Aluminium,4,Gulf & Iran,2050,9.1781699907469,6.900148859589589
Aluminium,5,United States,2050,8.48159999992278,6.376467490356391
Aluminium,6,Other Asia–Pacific,2050,6.83339999373108,5.137350607081741
Aluminium,7,Russia,2050,5.63476798484544,4.236218976536863
Aluminium,8,Southern Africa,2050,3.6510119850575,2.7448310731268464
Aluminium,9,Indonesia group,2050,3.0284799887125153,2.276811473471522
Aluminium,10,Brazil,2050,2.72635999216373,2.0496776383227933
Aluminium,11,South Korea,2050,2.39999999679711,1.8043201703182823
Aluminium,12,Canada,2050,2.15420799591033,1.6195337263621337
