Scenario,Region,Variable,Unit,2019,2024,2030,2035,2040,2050
baseline_noce,AFE,Final Energy|Agriculture|Electricity,EJ/yr,0.00510100024253835,0.00573239972325941,0.00659694032669077,0.00733836071131511,0.008078641690198231,0.0470387531223758
baseline_noce,AFE,Final Energy|Agriculture|Gases,EJ/yr,,,,1.46541242034558e-09,7.73501950094774e-10,3.0657135084780202e-09
baseline_noce,AFE,Final Energy|Agriculture|Liquids,EJ/yr,0.018376000877184398,0.0167780786404784,0.00960175236707446,0.00336441948319734,3.894389447625121e-09,0.0346406571727276
baseline_noce,AFE,Final Energy|Agriculture|Liquids|Oil,EJ/yr,0.018376000877184398,0.0167780786404784,0.00960175236707446,0.00336441635581351,2.0754809240319504e-09,0.034640654945281
baseline_noce,AFE,Final Energy|Agriculture|Solids,EJ/yr,0.0546230025937149,0.06542776506002071,0.0840153685490657,0.09985894310761059,0.11262877919784,0.058170614753772804
baseline_noce,AFE,Final Energy|Industry|Electricity,EJ/yr,0.0581229999759982,0.072655592537267,0.09319184360057309,0.107711260505978,0.117300030991437,0.305227902756741
baseline_noce,AFE,Final Energy|Industry|Gases,EJ/yr,0.00618599999404894,0.0134517230799527,0.0149723133088612,0.00878231500445726,0.00946809933490024,0.0591080129092151
baseline_noce,AFE,Final Energy|Industry|Gases|Gas,EJ/yr,0.00618599999404894,0.0134517230799527,0.0149723133088612,0.00878231500445726,0.00946809933490024,0.0591080129092151
baseline_noce,AFE,Final Energy|Industry|Hydrogen,EJ/yr,,5.0224489852357395e-11,3.9648184102671093e-05,0.000103501899113771,0.000206338729275139,0.00020633909662359
baseline_noce,AFE,Final Energy|Industry|Heat,EJ/yr,,0.007966804130346391,0.0231769373549604,0.046664147034089096,0.0775529475245107,0.17067546971289901
baseline_noce,AFE,Final Energy|Industry|Liquids,EJ/yr,0.100466999959676,0.0917682832104911,0.0901854705018609,0.0801094451720685,0.0654517355107083,0.426127835518969
baseline_noce,AFE,Final Energy|Industry|Liquids|Oil,EJ/yr,0.100466999959676,0.0917682832104911,0.0901854705018609,0.0801094451720685,0.0654517355107083,0.426127835285984
baseline_noce,AFE,Final Energy|Industry|Solids,EJ/yr,0.338079999949783,0.38288035893336797,0.478363733133532,0.563129692757424,0.6547456594223731,0.191565433171686
baseline_noce,AFE,Final Energy|Industry|Solids|Coal,EJ/yr,0.0598689999632947,0.0870298594340085,0.107736413591593,0.125320008280359,0.103064706623512,0.159927721029802
baseline_noce,AFE,Final Energy|Residential|Electricity,EJ/yr,0.08011800414963091,0.185839430913163,0.329450264924739,0.495307316281203,0.717315683472506,1.13284148820279
baseline_noce,AFE,Final Energy|Residential|Gases,EJ/yr,,0.00616734415205679,0.0166145363437697,0.048537065367060005,0.0660025669105016,0.0407896137608997
baseline_noce,AFE,Final Energy|Residential|Gases|Gas,EJ/yr,,0.00616734415205679,0.0166145363437697,0.048537065367060005,0.0660025669105016,0.0407896137608997
baseline_noce,AFE,Final Energy|Residential|Hydrogen,EJ/yr,,0.00746423542459684,0.014095857927777301,2.12413363833797e-09,1.85312448729792e-09,1.0824976112472499e-09
baseline_noce,AFE,Final Energy|Residential|Heat,EJ/yr,,1.6239431618756803e-05,4.4187345867257e-05,7.53396441397486e-05,0.00011221253873361301,0.00021146207506651598
baseline_noce,AFE,Final Energy|Residential|Liquids,EJ/yr,0.0447549999883717,0.0596044927983181,0.07936711377354691,0.10208045737306,0.13042386663529898,0.15619863226462
baseline_noce,AFE,Final Energy|Residential|Liquids|Oil,EJ/yr,0.0447549999883717,0.0596044927983181,0.07936711377354691,0.10208045737306,0.13042386663529898,0.15619863226462
